Time,Question,Overall Score,Verdict
08-07-2026 19:32:37,Explain Artificial Intelligence and mention its applications.,0.55,Average
08-07-2026 20:33:25,What is Machine Learning and how is it different from traditional programming?,0.55,Average
08-07-2026 20:34:57,what is the value of sin 90?,0.47,Poor
08-07-2026 20:36:24,what is the value of sin 90?,0.25,Poor
08-07-2026 20:43:08,How many does earth have ?,0.1,Poor
09-07-2026 12:58:52,how many moon does earth have?,0.42,Poor
13-07-2026 21:01:20,what is value of sin 90?,0.34,Poor
14-07-2026 13:53:02,What happens if you eat watermelon seeds?,0.52,Average
14-07-2026 20:11:28,what is the value of sin 90,0.26,Poor
20-07-2026 08:28:26,what happens if we eat watermelon seeds,0.72,Good
20-07-2026 08:31:50,what happens if we eat watermelon seeds?,0.72,Good
20-07-2026 08:43:31,what happens if we eat watermelon seeds?,0.72,Good
20-07-2026 08:46:23,where is the capital of india?,0.5,Average
